date,title,release_date,platform,subsidiary,account,distributor,units_sold,weeks_before_launch,preorder_status
2023-05-27,Windstorm: An Unexpected Arrival,2023-12-31,PS4,US,Target.com,U&I,15.0,32,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Amazon UK,,17.0,32,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Argos Online,Centresoft,16.0,35,Current
2023-05-13,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Argos Online,Centresoft,15.0,34,Current
2023-05-20,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Argos Online,Centresoft,15.0,33,Current
2023-05-27,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Argos Online,Centresoft,17.0,32,Current
2023-06-03,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,Argos Online,Centresoft,15.0,31,Current
2023-03-18,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,16.0,42,Current
2023-03-25,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,41,Current
2023-04-08,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,39,Current
2023-04-15,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,38,Current
2023-04-22,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,37,Current
2023-04-29,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,15.0,36,Current
2023-05-06,Tintin Reporter: Cigars of the Pharaoh - Limited Edition,2023-12-31,Nintendo Switch,UK/EU,GAME,U&I,17.0,35,Current
